============================================================
  layers = 50
  regime = rich
  lr     = 0.01
  steps  = 20000
============================================================
Loading cached features: outputs/train_features.pt
Loading cached features: outputs/val_features.pt
Model: 50 layer(s), regime=rich
  First layer shape: (100, 2048)
  Initial effective rank: 97.60
Step 10526/20000 | Val Acc 86.82% | Rank 95.86
Step 10564/20000 | Val Acc 86.82% | Rank 95.86
Step 10602/20000 | Val Acc 86.82% | Rank 95.86
Step 10640/20000 | Val Acc 86.82% | Rank 95.86
Step 10678/20000 | Val Acc 86.82% | Rank 95.86
Step 10716/20000 | Val Acc 86.82% | Rank 95.86
Step 10754/20000 | Val Acc 86.82% | Rank 95.86
Step 10792/20000 | Val Acc 86.82% | Rank 95.86
Step 10830/20000 | Val Acc 86.82% | Rank 95.86
Step 10868/20000 | Val Acc 86.82% | Rank 95.86
Step 10906/20000 | Val Acc 86.82% | Rank 95.86
Step 10944/20000 | Val Acc 86.82% | Rank 95.86
Step 10982/20000 | Val Acc 86.82% | Rank 95.86
Step 11020/20000 | Val Acc 86.82% | Rank 95.86
Step 11058/20000 | Val Acc 86.82% | Rank 95.86
Step 11096/20000 | Val Acc 86.82% | Rank 95.86
Step 11134/20000 | Val Acc 86.82% | Rank 95.86
Step 11172/20000 | Val Acc 86.82% | Rank 95.86
Step 11210/20000 | Val Acc 86.82% | Rank 95.86
Step 11248/20000 | Val Acc 86.82% | Rank 95.86
Step 11286/20000 | Val Acc 86.82% | Rank 95.86
Step 11324/20000 | Val Acc 86.82% | Rank 95.86
Step 11362/20000 | Val Acc 86.82% | Rank 95.86
Step 11400/20000 | Val Acc 86.82% | Rank 95.86
Step 11438/20000 | Val Acc 86.82% | Rank 95.86
Step 11476/20000 | Val Acc 86.82% | Rank 95.86
Step 11514/20000 | Val Acc 86.82% | Rank 95.86
Step 11552/20000 | Val Acc 86.82% | Rank 95.86
Step 11590/20000 | Val Acc 86.82% | Rank 95.86
Step 11628/20000 | Val Acc 86.82% | Rank 95.86
Step 11666/20000 | Val Acc 86.82% | Rank 95.86
Step 11704/20000 | Val Acc 86.82% | Rank 95.86
Step 11742/20000 | Val Acc 86.82% | Rank 95.86
Step 11780/20000 | Val Acc 86.82% | Rank 95.86
Step 11818/20000 | Val Acc 86.82% | Rank 95.86
Step 11856/20000 | Val Acc 86.82% | Rank 95.86
Step 11894/20000 | Val Acc 86.82% | Rank 95.86
Step 11932/20000 | Val Acc 86.82% | Rank 95.86
Step 11970/20000 | Val Acc 86.82% | Rank 95.86
Step 12008/20000 | Val Acc 86.82% | Rank 95.86
Step 12046/20000 | Val Acc 86.82% | Rank 95.86
Step 12084/20000 | Val Acc 86.82% | Rank 95.86
Step 12122/20000 | Val Acc 86.82% | Rank 95.86
Step 12160/20000 | Val Acc 86.82% | Rank 95.86
Step 12198/20000 | Val Acc 86.82% | Rank 95.86
Step 12236/20000 | Val Acc 86.82% | Rank 95.86
Step 12274/20000 | Val Acc 86.82% | Rank 95.86
Step 12312/20000 | Val Acc 86.82% | Rank 95.86
Step 12350/20000 | Val Acc 86.82% | Rank 95.86
Step 12388/20000 | Val Acc 86.82% | Rank 95.86
Step 12426/20000 | Val Acc 86.82% | Rank 95.86
Step 12464/20000 | Val Acc 86.82% | Rank 95.86
Step 12502/20000 | Val Acc 86.82% | Rank 95.86
Step 12540/20000 | Val Acc 86.82% | Rank 95.86
Step 12578/20000 | Val Acc 86.82% | Rank 95.86
Step 12616/20000 | Val Acc 86.82% | Rank 95.86
Step 12654/20000 | Val Acc 86.82% | Rank 95.86
Step 12692/20000 | Val Acc 86.82% | Rank 95.86
Step 12730/20000 | Val Acc 86.82% | Rank 95.86
Step 12768/20000 | Val Acc 86.82% | Rank 95.86
Step 12806/20000 | Val Acc 86.82% | Rank 95.86
Step 12844/20000 | Val Acc 86.82% | Rank 95.86
Step 12882/20000 | Val Acc 86.82% | Rank 95.86
Step 12920/20000 | Val Acc 86.82% | Rank 95.86
Step 12958/20000 | Val Acc 86.82% | Rank 95.86
Step 12996/20000 | Val Acc 86.82% | Rank 95.86
Step 13034/20000 | Val Acc 86.82% | Rank 95.86
Step 13072/20000 | Val Acc 86.82% | Rank 95.86
Step 13110/20000 | Val Acc 86.82% | Rank 95.86
Step 13148/20000 | Val Acc 86.82% | Rank 95.86
Step 13186/20000 | Val Acc 86.82% | Rank 95.86
Step 13224/20000 | Val Acc 86.82% | Rank 95.86
Step 13262/20000 | Val Acc 86.82% | Rank 95.86
Step 13300/20000 | Val Acc 86.82% | Rank 95.86
Step 13338/20000 | Val Acc 86.82% | Rank 95.86
Step 13376/20000 | Val Acc 86.82% | Rank 95.86
Step 13414/20000 | Val Acc 86.82% | Rank 95.86
Step 13452/20000 | Val Acc 86.82% | Rank 95.86
Step 13490/20000 | Val Acc 86.82% | Rank 95.86
Step 13528/20000 | Val Acc 86.82% | Rank 95.86
Step 13566/20000 | Val Acc 86.82% | Rank 95.86
Step 13604/20000 | Val Acc 86.82% | Rank 95.86
Step 13642/20000 | Val Acc 86.82% | Rank 95.86
Step 13680/20000 | Val Acc 86.82% | Rank 95.86
Step 13718/20000 | Val Acc 86.82% | Rank 95.86
Step 13756/20000 | Val Acc 86.82% | Rank 95.86
Step 13794/20000 | Val Acc 86.82% | Rank 95.86
Step 13832/20000 | Val Acc 86.82% | Rank 95.86
Step 13870/20000 | Val Acc 86.82% | Rank 95.86
Step 13908/20000 | Val Acc 86.82% | Rank 95.86
Step 13946/20000 | Val Acc 86.82% | Rank 95.86
Step 13984/20000 | Val Acc 86.82% | Rank 95.86
Step 14022/20000 | Val Acc 86.82% | Rank 95.86
Step 14060/20000 | Val Acc 86.82% | Rank 95.86
Step 14098/20000 | Val Acc 86.82% | Rank 95.86
Step 14136/20000 | Val Acc 86.82% | Rank 95.86
Step 14174/20000 | Val Acc 86.82% | Rank 95.86
Step 14212/20000 | Val Acc 86.82% | Rank 95.86
Step 14250/20000 | Val Acc 86.82% | Rank 95.86
